,model_name,MSE,R2
0,LinearRegression,21.894831181729202,0.6498212316698557
1,DecisionTreeRegressor_max_depth2,25.699467452126065,0.5623394306902987
2,DecisionTreeRegressor_max_depth4,9.645808506771132,0.8710000660659777
3,DecisionTreeRegressor_max_depth6,4.6466445694450105,0.9417515986690084
4,DecisionTreeRegressor_max_depth8,2.08803819218943,0.9746386530477545
5,DecisionTreeRegressor_max_depth10,0.8039362740449915,0.990385333802723
6,DecisionTreeRegressor_max_depth12,0.22149003683998444,0.9973694165786885
7,DecisionTreeRegressor_max_depth14,0.033693958215697324,0.9996007156016649
8,DecisionTreeRegressor_max_depth16,0.001396574440052699,0.9999834564689994
9,DecisionTreeRegressor_max_depth18,4.940711462450593e-05,0.9999994147429128
10,DecisionTreeRegressor_max_depth20,0.0,1.0
11,DecisionTreeRegressor_max_depth22,0.0,1.0
12,DecisionTreeRegressor_max_depth24,0.0,1.0
13,DecisionTreeRegressor_max_depth26,0.0,1.0
14,DecisionTreeRegressor_max_depth28,0.0,1.0
15,RandomForestRegressor_max_depth2_n20,21.235877468737336,0.615916240261694
16,RandomForestRegressor_max_depth4_n20,7.925047013993514,0.885085327467108
17,RandomForestRegressor_max_depth6_n20,4.179456137241608,0.9425246144418196
18,RandomForestRegressor_max_depth8_n20,2.57362916156268,0.9661834156022587
19,RandomForestRegressor_max_depth10_n20,2.0235521032795716,0.9739440926860925
20,RandomForestRegressor_max_depth12_n20,1.593101230714751,0.9794183994621688
21,RandomForestRegressor_max_depth14_n20,1.6100608225791702,0.9791707117448668
22,RandomForestRegressor_max_depth16_n20,1.7409773221475682,0.9772733692217124
23,RandomForestRegressor_max_depth18_n20,1.5532121155338272,0.9799122051003945
24,RandomForestRegressor_max_depth20_n20,1.891714379835329,0.975580633759969
25,RandomForestRegressor_max_depth22_n20,1.5560427411067193,0.979982520046504
26,RandomForestRegressor_max_depth24_n20,1.7658970355731225,0.9775517783283526
27,RandomForestRegressor_max_depth26_n20,1.7124081027667988,0.97816146193509
28,RandomForestRegressor_max_depth28_n20,1.2704728260869573,0.9838766004945801
29,RandomForestRegressor_max_depth2_n40,19.408828483430575,0.625581753717815
30,RandomForestRegressor_max_depth4_n40,7.474680650975439,0.8917528920245932
31,RandomForestRegressor_max_depth6_n40,4.18170606247721,0.9422762629810698
32,RandomForestRegressor_max_depth8_n40,2.3023165149788483,0.9698265082168892
33,RandomForestRegressor_max_depth10_n40,2.1420360081892977,0.9721888398058397
34,RandomForestRegressor_max_depth12_n40,1.748644677084289,0.9771028535714863
35,RandomForestRegressor_max_depth14_n40,1.8400938952182961,0.9762056817466944
36,RandomForestRegressor_max_depth16_n40,1.5021688817665446,0.9805463794174226
37,RandomForestRegressor_max_depth18_n40,1.3399832437422727,0.9829977746027743
38,RandomForestRegressor_max_depth20_n40,1.394876943968386,0.9819906447181111
39,RandomForestRegressor_max_depth22_n40,1.8273781785243748,0.975852794687587
40,RandomForestRegressor_max_depth24_n40,1.41239861660079,0.9815996167219471
41,RandomForestRegressor_max_depth26_n40,1.547781929347825,0.9798856212726924
42,RandomForestRegressor_max_depth28_n40,1.3834354619565212,0.9821599425634266
43,RandomForestRegressor_max_depth2_n60,19.768045838344857,0.6301078460930517
44,RandomForestRegressor_max_depth4_n60,7.418760758980856,0.8931293384679532
45,RandomForestRegressor_max_depth6_n60,3.962640152579341,0.9457274965660476
46,RandomForestRegressor_max_depth8_n60,2.5907187945453476,0.9654948773740134
47,RandomForestRegressor_max_depth10_n60,1.7240871514780163,0.9774947995068631
48,RandomForestRegressor_max_depth12_n60,1.6897686211876906,0.9778081587737044
49,RandomForestRegressor_max_depth14_n60,1.4556211106486552,0.9810417514481833
50,RandomForestRegressor_max_depth16_n60,1.4977507821480835,0.9805105162454177
51,RandomForestRegressor_max_depth18_n60,1.5498320209843612,0.9797214722715204
52,RandomForestRegressor_max_depth20_n60,1.5065765586972362,0.9803195080554288
53,RandomForestRegressor_max_depth22_n60,1.5124409208510223,0.9801498494086135
54,RandomForestRegressor_max_depth24_n60,1.4676608193956466,0.9809624887629176
55,RandomForestRegressor_max_depth26_n60,1.526577794246816,0.9802237744444359
56,RandomForestRegressor_max_depth28_n60,1.6066700043917437,0.9791602317748053
57,RandomForestRegressor_max_depth2_n80,19.799259297754933,0.6229514387359434
58,RandomForestRegressor_max_depth4_n80,7.446260351519405,0.8915834672826914
59,RandomForestRegressor_max_depth6_n80,3.9900078486617963,0.9455832714055663
60,RandomForestRegressor_max_depth8_n80,2.4244461717239125,0.9679909654231085
61,RandomForestRegressor_max_depth10_n80,1.7405276706105126,0.9772648702840655
62,RandomForestRegressor_max_depth12_n80,1.5916417177556468,0.9793436051485026
63,RandomForestRegressor_max_depth14_n80,1.4504588402330583,0.9812107012193214
64,RandomForestRegressor_max_depth16_n80,1.375466035777489,0.9820566424551188
65,RandomForestRegressor_max_depth18_n80,1.4600791172052106,0.9811099433943749
66,RandomForestRegressor_max_depth20_n80,1.3533762721667317,0.9823767245882301
67,RandomForestRegressor_max_depth22_n80,1.433351228306234,0.9815062195951445
68,RandomForestRegressor_max_depth24_n80,1.472461814476283,0.9809636284436543
69,RandomForestRegressor_max_depth26_n80,1.4122665081521728,0.9816691823552884
70,RandomForestRegressor_max_depth28_n80,1.4952137104743075,0.980453097060085
